perturbation,dataset,n_cells,closest_severity,recovery_score,disease_score,dist_healthy,dist_mild,dist_moderate,dist_severe,dist_fatal,dist_recovered,sim_healthy,sim_mild,sim_moderate,sim_severe,sim_fatal,sim_recovered
PLIN3_P1P2-1|PLIN3_P1P2-2,hct116,7,recovered,20.786938,-1.3927715,82.04256,83.177704,82.34683,82.89315,82.15654,80.40543,0.012042019,0.01187963,0.011998056,0.011919924,0.012025513,0.012284192
CCDC60_P1P2-1|CCDC60_P1P2-2,hct116,5,recovered,20.786283,-0.25633693,83.007965,84.019875,83.2471,83.70587,82.99436,81.24317,0.011903633,0.011761956,0.011869845,0.011805557,0.011905561,0.012159064
TIPRL_P1P2-1|TIPRL_P1P2-2,hct116,7,recovered,20.786005,-1.0734341,83.65113,84.75425,83.950005,84.4457,83.71792,82.00527,0.011813192,0.01166123,0.01177163,0.0117033385,0.0118038785,0.012047428
PACRG_P1P2-1|PACRG_P1P2-2,hct116,17,recovered,20.78589,-0.87448025,81.35807,82.45995,81.58038,82.149315,81.45467,79.638565,0.012142101,0.011981795,0.012109414,0.012026558,0.012127875,0.012401015
ARHGAP42_P1P2-1|ARHGAP42_P1P2-2,hct116,5,recovered,20.785873,0.07357299,81.723145,82.776726,81.784,82.38976,81.688576,79.88657,0.012088515,0.0119364895,0.012079629,0.01199188,0.012093569,0.012362991
BCO2_P1P2-1|BCO2_P1P2-2,hct116,9,recovered,20.785542,-0.7322517,80.903984,82.0537,81.078636,81.68128,80.93823,79.155754,0.012209418,0.012040403,0.012183438,0.0120946355,0.012204315,0.01247571
TAFA4_P1P2-1|TAFA4_P1P2-2,hct116,16,recovered,20.78536,-0.16288608,80.83472,81.88324,80.971756,81.53916,80.84304,79.009125,0.012219753,0.012065166,0.012199324,0.012115461,0.01221851,0.012498574
LYZL6_P1P2-1|LYZL6_P1P2-2,hct116,5,recovered,20.78522,1.3702353,80.2971,81.21902,80.28069,80.80662,80.12715,78.25294,0.012300562,0.012162636,0.012303045,0.01222395,0.01232633,0.012617829
VRK3_P1P2-1|VRK3_P1P2-2,hct116,9,recovered,20.785143,-0.6113821,81.29358,82.36436,81.57199,82.05168,81.31695,79.537994,0.012151617,0.011995534,0.012110644,0.012040695,0.012148167,0.0124165
TSEN34_P1P2-1|TSEN34_P1P2-2,hct116,5,recovered,20.785059,-0.12520558,82.71764,83.752,82.95158,83.40143,82.67759,80.929695,0.011944913,0.0117991315,0.011911629,0.0118481405,0.011950631,0.012205587
DACT1_P1P2-1|DACT1_P1P2-2,hct116,8,recovered,20.784954,-1.0630149,81.452675,82.57892,81.71386,82.26715,81.51325,79.76029,0.01212817,0.011964739,0.012089873,0.012009538,0.012119265,0.012382323
ITGB8_P1P2-1|ITGB8_P1P2-2,hct116,7,recovered,20.784876,-0.50232095,82.2024,83.289825,82.35986,82.93834,82.31719,80.452415,0.012018884,0.011863828,0.011996181,0.011913507,0.012002325,0.012277107
KRTAP19-8_ENST00000382822.2-1|KRTAP19-8_ENST00000382822.2-2,hct116,11,recovered,20.78417,-0.7884157,80.94882,82.04003,81.10285,81.73293,81.01273,79.20933,0.012202738,0.012042385,0.012179845,0.012087085,0.012193228,0.012467378
FBP2_P1P2-1|FBP2_P1P2-2,hct116,8,recovered,20.784134,0.17512637,81.13262,82.16471,81.244896,81.790985,81.08732,79.26924,0.012175431,0.012024331,0.012158809,0.012078609,0.01218215,0.012458072
PRSS1_P1-1|PRSS1_P1-2,hct116,8,recovered,20.783844,-0.5270176,80.989136,82.06273,81.23559,81.73919,81.032265,79.21584,0.012196738,0.012039094,0.012160186,0.012086171,0.012190325,0.0124663655
OCIAD1_P1P2-1|OCIAD1_P1P2-2,hct116,7,recovered,20.78383,-0.4181734,79.985596,81.03568,80.19514,80.73077,80.11596,78.17488,0.012347875,0.012189818,0.012316008,0.012235294,0.012328031,0.012630268
non-targeting_00037|non-targeting_03093,hct116,5,recovered,20.78363,0.1035313,80.423096,81.4763,80.5822,81.09651,80.279655,78.552574,0.012281528,0.012124695,0.012257576,0.012180786,0.0123032015,0.012570304
HAPSTR1_P1-1|HAPSTR1_P1-2,hct116,5,recovered,20.783577,-0.99496174,82.66956,83.76247,82.98276,83.46358,82.75603,80.99403,0.011951777,0.011797675,0.011907206,0.011839422,0.011939439,0.012196009
B3GNT2_P1P2-1|B3GNT2_P1P2-2,hct116,10,recovered,20.783527,-1.0302227,81.970406,83.07564,82.20335,82.77562,82.105675,80.28492,0.01205249,0.011894052,0.012018748,0.011936647,0.012032873,0.012302405
CLEC12A_P1P2-1|CLEC12A_P1P2-2,hct116,6,recovered,20.783241,-0.7062923,81.62826,82.7027,81.88218,82.39541,81.632904,79.892914,0.012102397,0.011947046,0.01206532,0.011991068,0.012101716,0.012362022
PIK3C3_P1P2-1|PIK3C3_P1P2-2,hct116,13,recovered,20.783052,-0.14078921,82.24229,83.27265,82.44703,82.93197,82.25823,80.446205,0.012013125,0.011866245,0.01198365,0.011914412,0.012010824,0.012278043
EGF_P1P2-1|EGF_P1P2-2,hct116,5,recovered,20.782883,-0.33430138,81.60064,82.651695,81.712296,82.320465,81.6274,79.81569,0.012106444,0.01195433,0.012090101,0.012001853,0.012102522,0.012373835
FBXO44_P1P2-1|FBXO44_P1P2-2,hct116,7,recovered,20.782837,-1.284909,80.995026,82.17118,81.29502,81.84262,81.05301,79.32277,0.012195862,0.012023396,0.012151403,0.012071081,0.012187243,0.01244977
POM121L2_P1P2-1|POM121L2_P1P2-2,hct116,21,recovered,20.782516,-0.41343534,81.06051,82.155785,81.217896,81.79528,81.007774,79.27398,0.01218613,0.012025622,0.012162802,0.0120779835,0.012193966,0.012457337
THSD4_ENST00000261862.6-1|THSD4_ENST00000261862.6-2,hct116,8,recovered,20.782288,-0.83104837,83.141014,84.26366,83.41691,83.90999,83.12818,81.45422,0.01188481,0.011728327,0.011845968,0.011777177,0.011886624,0.0121279415
CREB5_ENST00000396300.2-1|CREB5_ENST00000396300.2-2,hct116,11,recovered,20.782213,-0.7393224,81.42918,82.532616,81.67275,82.202415,81.43786,79.69407,0.012131627,0.011971372,0.0120958835,0.012018882,0.012130349,0.012392485
PBLD_P1-1|PBLD_P1-2,hct116,7,recovered,20.782072,-0.773308,82.32347,83.40906,82.531685,83.09269,82.36019,80.612076,0.01200142,0.0118470695,0.011971505,0.01189164,0.011996133,0.012253089
CTSA_P1P2-1|CTSA_P1P2-2,hct116,5,recovered,20.782051,0.9070769,79.29618,80.25684,79.30378,79.87319,79.1191,77.289314,0.012453892,0.012306656,0.012452714,0.012365037,0.0124814175,0.012773136
non-targeting_00065|non-targeting_02434,hct116,11,recovered,20.781961,-0.072781116,81.41447,82.46589,81.6023,82.10237,81.401375,79.59092,0.012133792,0.011980942,0.0121062,0.012033351,0.01213572,0.012408346
MYADM_P1-1|MYADM_P1-2,hct116,9,recovered,20.781921,-0.15036076,81.67087,82.738045,81.83462,82.366554,81.65148,79.86342,0.012096159,0.011942003,0.012072247,0.011995218,0.012098997,0.012366531
GNAZ_P1P2-1|GNAZ_P1P2-2,hct116,10,recovered,20.781607,-0.8700236,82.05608,83.163826,82.313675,82.840096,82.07814,80.35177,0.012040057,0.011881589,0.012002831,0.011927468,0.012036861,0.012292296
KRTAP5-1_ENST00000382171.2-1|KRTAP5-1_ENST00000382171.2-2,hct116,12,recovered,20.781332,0.49732578,80.82132,81.835304,80.886505,81.44054,80.73525,78.908134,0.012221754,0.012072148,0.012212024,0.012129955,0.012234623,0.0125143705
TMEM18_P1P2-1|TMEM18_P1P2-2,hct116,5,recovered,20.780993,-2.3855295,83.52747,84.757614,83.913605,84.48695,83.7264,82.04871,0.011830473,0.011660772,0.0117766755,0.011697691,0.011802697,0.012041125
